Latitude,Longitude,Depth,Magnitude,Max. int,Region,day,date,pm1,pm10,pm25,temperature,estacion_ID,CO,NO2,O3,SO2,Humidity,Illuminance
28.5653,-17.8366,11,3.9,III-IV,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.5548,-17.8422,10.6,3.6,NA,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.559,-17.8377,12.9,4.2,IV,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.5623,-17.8459,11.1,3.6,III-IV,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.5505,-17.8282,14,3.7,III,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.5633,-17.8453,11.9,3.6,III,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.561,-17.8327,13,3.6,III,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.561,-17.8324,12.1,3.8,IV,Fuencaliente,334,2021-11-30,NA,NA,NA,NA,9.828506761070164,266.9848109229644,32.851536706482506,39.381700411705644,4.299372680140444,75.00458923286519,332.9473075076954
28.5605,-17.8384,11.3,3.5,III-IV,Fuencaliente,333,2021-11-29,NA,NA,NA,16.612258534327438,10.04297224709042,272.66517006859334,33.12555280025179,41.27980299020815,36.151026970736346,76.8141156676757,304.9468933649004
28.5608,-17.8306,11.1,3.6,III,Fuencaliente,333,2021-11-29,NA,NA,NA,16.612258534327438,10.04297224709042,272.66517006859334,33.12555280025179,41.27980299020815,36.151026970736346,76.8141156676757,304.9468933649004
28.5636,-17.8329,12.5,3.7,III,Fuencaliente,333,2021-11-29,NA,NA,NA,16.612258534327438,10.04297224709042,272.66517006859334,33.12555280025179,41.27980299020815,36.151026970736346,76.8141156676757,304.9468933649004
28.5516,-17.8417,14.2,3.9,III-IV,Fuencaliente,329,2021-11-25,NA,NA,NA,17.433266891043438,10.283425386873663,271.90588742102307,35.58550330508534,38.76859624073742,13.485987416106882,88.5925949647012,54.78520183724934
28.561,-17.8428,33.6,3.7,II-III,Fuencaliente,329,2021-11-25,NA,NA,NA,17.433266891043438,10.283425386873663,271.90588742102307,35.58550330508534,38.76859624073742,13.485987416106882,88.5925949647012,54.78520183724934
